scenario_id,round_index,phase,intended_difficulty,trap_designed,trap_target_amount,dispersion_designed,overlap_designed,generator_city_rule,realized_n_distinct_stores,realized_n_distinct_cities,rng_seed,scenario_set_version_id,generator_schema_version,reward_model_version,route_optimizer_version,legal_bundle_model_version,source_file,source_commit
mainGameScenario39,39,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario40,40,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario41,41,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario42,42,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario43,43,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario44,44,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario45,45,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario46,46,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario47,47,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario48,48,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario49,49,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario50,50,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
