round_index,phase,recommendations_shown_in_run,phase_recommendations_eligible,scenario_id,starting_city_for_round,n_orders,order_ids,orders_detail,n_distinct_stores,n_distinct_cities,menu_layout,max_bundle,store_overlap_realized,generator_city_rule,dispersion_designed,overlap_designed,trap_designed,trap_target_amount,intended_difficulty,oracle_bundle_ids,oracle_bundle_size,oracle_score,oracle_earnings,oracle_time_s,oracle_ending_city,second_best_bundle_ids,second_best_bundle_size,second_best_score,second_best_earnings,score_gap,relative_gap,max_overlap_savings_s,maxpay_bundle_ids,maxpay_bundle_size,maxpay_earnings,maxpay_score,payout_trap_present,trap_overpay_amount,trap_score_shortfall,trap_relative_shortfall,deployed_best_bundle_ids,recompute_matches_deployed_best,recompute_matches_deployed_second
11,A,False,False,mainGameScenario11,Piedmont,4,"[""mainGameOrder41"", ""mainGameOrder42"", ""mainGameOrder43"", ""mainGameOrder44""]","[{""id"": ""mainGameOrder41"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 13, ""n_unique_items"": 2}, {""id"": ""mainGameOrder42"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder43"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 18, ""n_unique_items"": 2}, {""id"": ""mainGameOrder44"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 15, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder42"", ""mainGameOrder43""]",2,1.20915,37.0,30.6,Emeryville,"[""mainGameOrder42"", ""mainGameOrder43"", ""mainGameOrder44""]",3,1.195402,52.0,0.013748,0.01137,4.5,"[""mainGameOrder42"", ""mainGameOrder43"", ""mainGameOrder44""]",3,52.0,1.195402,True,15.0,0.013748,0.01137,"[""mainGameOrder42"", ""mainGameOrder43""]",True,True
12,A,False,False,mainGameScenario12,Emeryville,4,"[""mainGameOrder45"", ""mainGameOrder46"", ""mainGameOrder47"", ""mainGameOrder48""]","[{""id"": ""mainGameOrder45"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 16, ""n_unique_items"": 3}, {""id"": ""mainGameOrder46"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder47"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 22, ""n_unique_items"": 3}, {""id"": ""mainGameOrder48"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder45"", ""mainGameOrder46"", ""mainGameOrder47""]",3,1.150442,52.0,45.2,Emeryville,"[""mainGameOrder45"", ""mainGameOrder47"", ""mainGameOrder48""]",3,1.150442,52.0,0.0,0.0,6.3,"[""mainGameOrder45"", ""mainGameOrder46"", ""mainGameOrder47""]",3,52.0,1.150442,False,0,0,0,"[""mainGameOrder45"", ""mainGameOrder46"", ""mainGameOrder47""]",True,True
13,A,False,False,mainGameScenario13,Emeryville,4,"[""mainGameOrder49"", ""mainGameOrder50"", ""mainGameOrder51"", ""mainGameOrder52""]","[{""id"": ""mainGameOrder49"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder50"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder51"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder52"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 12, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder49""]",1,1.751825,24.0,13.7,Emeryville,"[""mainGameOrder49"", ""mainGameOrder52""]",2,1.358491,36.0,0.393334,0.224528,1.8,"[""mainGameOrder49"", ""mainGameOrder52""]",2,36.0,1.358491,True,12.0,0.393334,0.224528,"[""mainGameOrder49""]",True,True
14,A,False,False,mainGameScenario14,Emeryville,4,"[""mainGameOrder53"", ""mainGameOrder54"", ""mainGameOrder55"", ""mainGameOrder56""]","[{""id"": ""mainGameOrder53"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder54"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 3}, {""id"": ""mainGameOrder55"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 22, ""n_unique_items"": 3}, {""id"": ""mainGameOrder56"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 18, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder56""]",1,1.304348,18.0,13.8,Emeryville,"[""mainGameOrder53"", ""mainGameOrder55"", ""mainGameOrder56""]",3,1.26294,61.0,0.041408,0.031746,9.0,"[""mainGameOrder53"", ""mainGameOrder55"", ""mainGameOrder56""]",3,61.0,1.26294,True,43.0,0.041408,0.031746,"[""mainGameOrder56""]",True,True
15,A,False,False,mainGameScenario15,Emeryville,4,"[""mainGameOrder57"", ""mainGameOrder58"", ""mainGameOrder59"", ""mainGameOrder60""]","[{""id"": ""mainGameOrder57"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder58"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 18, ""n_unique_items"": 3}, {""id"": ""mainGameOrder59"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder60"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder57"", ""mainGameOrder59"", ""mainGameOrder60""]",3,1.40553,61.0,43.4,Piedmont,"[""mainGameOrder57"", ""mainGameOrder59""]",2,1.358885,39.0,0.046645,0.033187,4.2,"[""mainGameOrder57"", ""mainGameOrder59"", ""mainGameOrder60""]",3,61.0,1.40553,False,0,0,0,"[""mainGameOrder57"", ""mainGameOrder59"", ""mainGameOrder60""]",True,True
16,B,False,True,mainGameScenario16,Piedmont,4,"[""mainGameOrder61"", ""mainGameOrder62"", ""mainGameOrder63"", ""mainGameOrder64""]","[{""id"": ""mainGameOrder61"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder62"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder63"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 18, ""n_unique_items"": 3}, {""id"": ""mainGameOrder64"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder62""]",1,2.376238,24.0,10.1,Piedmont,"[""mainGameOrder62"", ""mainGameOrder64""]",2,2.110092,46.0,0.266146,0.112003,5.6,"[""mainGameOrder61"", ""mainGameOrder62"", ""mainGameOrder64""]",3,70.0,2.028986,True,46.0,0.347252,0.146135,"[""mainGameOrder62""]",True,True
17,B,False,True,mainGameScenario17,Piedmont,4,"[""mainGameOrder65"", ""mainGameOrder66"", ""mainGameOrder67"", ""mainGameOrder68""]","[{""id"": ""mainGameOrder65"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder66"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder67"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 17, ""n_unique_items"": 3}, {""id"": ""mainGameOrder68"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 13, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder66""]",1,1.419355,22.0,15.5,Oakland,"[""mainGameOrder65""]",1,1.41791,19.0,0.001444,0.001018,3.0,"[""mainGameOrder66"", ""mainGameOrder67"", ""mainGameOrder68""]",3,52.0,1.04,True,30.0,0.379355,0.267273,"[""mainGameOrder66""]",True,True
18,B,False,True,mainGameScenario18,Oakland,4,"[""mainGameOrder69"", ""mainGameOrder70"", ""mainGameOrder71"", ""mainGameOrder72""]","[{""id"": ""mainGameOrder69"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder70"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 13, ""n_unique_items"": 2}, {""id"": ""mainGameOrder71"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 22, ""n_unique_items"": 3}, {""id"": ""mainGameOrder72"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder71"", ""mainGameOrder72""]",2,1.464286,41.0,28.0,Oakland,"[""mainGameOrder72""]",1,1.461538,19.0,0.002747,0.001876,3.0,"[""mainGameOrder69"", ""mainGameOrder71"", ""mainGameOrder72""]",3,55.0,1.358025,True,14.0,0.106261,0.072569,"[""mainGameOrder71"", ""mainGameOrder72""]",True,True
19,B,False,True,mainGameScenario19,Oakland,4,"[""mainGameOrder73"", ""mainGameOrder74"", ""mainGameOrder75"", ""mainGameOrder76""]","[{""id"": ""mainGameOrder73"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 12, ""n_unique_items"": 3}, {""id"": ""mainGameOrder74"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder75"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 18, ""n_unique_items"": 2}, {""id"": ""mainGameOrder76"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 24, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder75""]",1,1.5,18.0,12.0,Oakland,"[""mainGameOrder75"", ""mainGameOrder76""]",2,1.486726,42.0,0.013274,0.00885,3.0,"[""mainGameOrder73"", ""mainGameOrder75"", ""mainGameOrder76""]",3,54.0,1.255814,True,36.0,0.244186,0.162791,"[""mainGameOrder75""]",True,True
20,B,False,True,mainGameScenario20,Oakland,4,"[""mainGameOrder77"", ""mainGameOrder78"", ""mainGameOrder79"", ""mainGameOrder80""]","[{""id"": ""mainGameOrder77"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder78"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 23, ""n_unique_items"": 2}, {""id"": ""mainGameOrder79"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 17, ""n_unique_items"": 3}, {""id"": ""mainGameOrder80"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 20, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder78""]",1,1.877551,23.0,12.25,Oakland,"[""mainGameOrder77"", ""mainGameOrder78""]",2,1.553719,47.0,0.323832,0.172476,3.0,"[""mainGameOrder77"", ""mainGameOrder78"", ""mainGameOrder80""]",3,67.0,1.464481,True,44.0,0.41307,0.220005,"[""mainGameOrder78""]",True,True
21,B,False,True,mainGameScenario21,Oakland,4,"[""mainGameOrder81"", ""mainGameOrder82"", ""mainGameOrder83"", ""mainGameOrder84""]","[{""id"": ""mainGameOrder81"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 20, ""n_unique_items"": 2}, {""id"": ""mainGameOrder82"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 3}, {""id"": ""mainGameOrder83"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder84"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 21, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder81"", ""mainGameOrder84""]",2,1.570881,41.0,26.1,Piedmont,"[""mainGameOrder81"", ""mainGameOrder82"", ""mainGameOrder84""]",3,1.534392,58.0,0.03649,0.023229,4.2,"[""mainGameOrder81"", ""mainGameOrder82"", ""mainGameOrder84""]",3,58.0,1.534392,True,17.0,0.03649,0.023229,"[""mainGameOrder81"", ""mainGameOrder84""]",True,True
22,B,False,True,mainGameScenario22,Piedmont,4,"[""mainGameOrder85"", ""mainGameOrder86"", ""mainGameOrder87"", ""mainGameOrder88""]","[{""id"": ""mainGameOrder85"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder86"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder87"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder88"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 16, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder86"", ""mainGameOrder88""]",2,2.065217,38.0,18.4,Piedmont,"[""mainGameOrder86""]",1,1.981982,22.0,0.083235,0.040303,4.2,"[""mainGameOrder85"", ""mainGameOrder86"", ""mainGameOrder87""]",3,58.0,1.883117,True,20.0,0.182101,0.088175,"[""mainGameOrder86"", ""mainGameOrder88""]",True,True
23,B,False,True,mainGameScenario23,Piedmont,4,"[""mainGameOrder89"", ""mainGameOrder90"", ""mainGameOrder91"", ""mainGameOrder92""]","[{""id"": ""mainGameOrder89"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 16, ""n_unique_items"": 3}, {""id"": ""mainGameOrder90"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder91"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 3}, {""id"": ""mainGameOrder92"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 19, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder91"", ""mainGameOrder92""]",2,1.362126,41.0,30.1,Piedmont,"[""mainGameOrder91""]",1,1.309524,22.0,0.052602,0.038618,5.6,"[""mainGameOrder89"", ""mainGameOrder91"", ""mainGameOrder92""]",3,57.0,1.283784,True,16.0,0.078342,0.057515,"[""mainGameOrder91"", ""mainGameOrder92""]",True,True
