participant_token,round,scenario_id,current_city,stored_current_city,order1_id,order1_store,order1_city,order1_earnings,order1_pick,order1_local,order1_cross,order2_id,order2_store,order2_city,order2_earnings,order2_pick,order2_local,order2_cross,order3_id,order3_store,order3_city,order3_earnings,order3_pick,order3_local,order3_cross,order4_id,order4_store,order4_city,order4_earnings,order4_pick,order4_local,order4_cross,chosen_bundle,chosen_score_deployed,oracle_bundle_deployed,oracle_score_deployed,percent_regret_deployed,oracle_size_deployed,round_type,round_type_deployed,stored_oracle_deployed,stored_regret_deployed,oracle_path_sensitive
p001,17,mainGameScenario17,Piedmont,,mainGameOrder65,Safeway,Piedmont,19,7.4,6,0,mainGameOrder66,Sprouts Farmers Market,Oakland,22,7.5,3,5,mainGameOrder67,Sprouts Farmers Market,Oakland,17,12.75,6,5,mainGameOrder68,Sprouts Farmers Market,Oakland,13,12.75,6,5,mainGameOrder66+mainGameOrder68+mainGameOrder67,1.04,mainGameOrder66,1.419355,0.267273,1,over_bundle,over_bundle,,,0
p001,18,mainGameScenario18,Oakland,,mainGameOrder69,Sprouts Farmers Market,Oakland,14,8.25,5,0,mainGameOrder70,Sprouts Farmers Market,Oakland,13,8.25,3,0,mainGameOrder71,Sprouts Farmers Market,Oakland,22,14.25,3,0,mainGameOrder72,Sprouts Farmers Market,Oakland,19,9,4,0,mainGameOrder71+mainGameOrder72+mainGameOrder69,1.358025,mainGameOrder71+mainGameOrder72,1.464286,0.072569,2,bundle_correct,bundle_correct,,,0
p001,19,mainGameScenario19,Oakland,,mainGameOrder73,Sprouts Farmers Market,Oakland,12,12.75,5,0,mainGameOrder74,Safeway,Piedmont,17,7.4,5,5,mainGameOrder75,Sprouts Farmers Market,Oakland,18,9,3,0,mainGameOrder76,Sprouts Farmers Market,Oakland,24,14.25,2,0,mainGameOrder75+mainGameOrder76+mainGameOrder73,1.255814,mainGameOrder75,1.5,0.162791,1,over_bundle,over_bundle,,,0
p001,20,mainGameScenario20,Oakland,,mainGameOrder77,Sprouts Farmers Market,Oakland,24,14.25,6,0,mainGameOrder78,Sprouts Farmers Market,Oakland,23,8.25,4,0,mainGameOrder79,Sprouts Farmers Market,Oakland,17,14.25,4,0,mainGameOrder80,Sprouts Farmers Market,Oakland,20,11.25,5,0,mainGameOrder77+mainGameOrder78+mainGameOrder80,1.464481,mainGameOrder78,1.877551,0.220005,1,over_bundle,over_bundle,,,0
p002,1,mainGameScenario1,Emeryville,Emeryville,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,7,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,7,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,7,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,6,mainGameOrder1,1.235955,mainGameOrder1,1.235955,0,1,over_bundle,over_bundle,mainGameOrder1,0,0
p002,2,mainGameScenario2,Berkeley,Berkeley,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,0,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,0,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,0,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,0,mainGameOrder5,1.411765,mainGameOrder8,1.851852,0.237647,1,over_bundle,over_bundle,mainGameOrder8,0.237647,0
p002,3,mainGameScenario3,Berkeley,Berkeley,mainGameOrder9,Berkeley Bowl,Berkeley,15,13.2,3,0,mainGameOrder10,Sprouts Farmers Market,Oakland,23,12.75,3,10,mainGameOrder11,Berkeley Bowl,Berkeley,23,12,6,0,mainGameOrder12,Berkeley Bowl,Berkeley,16,7.8,6,0,mainGameOrder10,0.893204,mainGameOrder11,1.277778,0.300971,1,over_bundle,over_bundle,mainGameOrder11,0.300971,0
p002,4,mainGameScenario4,Oakland,Oakland,mainGameOrder13,Berkeley Bowl,Berkeley,17,7.2,4,10,mainGameOrder14,Berkeley Bowl,Berkeley,17,7.8,2,10,mainGameOrder15,Berkeley Bowl,Berkeley,20,12,2,10,mainGameOrder16,Berkeley Bowl,Berkeley,16,11.4,6,10,mainGameOrder13+mainGameOrder15,1.107784,mainGameOrder14,0.858586,0,1,over_bundle,over_bundle,mainGameOrder14,0,0
p002,5,mainGameScenario5,Berkeley,Berkeley,mainGameOrder17,Sprouts Farmers Market,Oakland,14,7.5,4,10,mainGameOrder18,Safeway,Piedmont,20,12.5,5,11,mainGameOrder19,Sprouts Farmers Market,Oakland,17,8.25,4,10,mainGameOrder20,Safeway,Piedmont,13,8.1,4,11,mainGameOrder18+mainGameOrder20,0.841837,mainGameOrder17+mainGameOrder19,0.918519,0.083484,2,bundle_correct,bundle_correct,mainGameOrder17+mainGameOrder19,0.083484,0
p002,6,mainGameScenario6,Piedmont,Piedmont,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,5,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,5,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,5,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,5,mainGameOrder22+mainGameOrder21+mainGameOrder23,1.604938,mainGameOrder22,1.442623,0,1,over_bundle,over_bundle,mainGameOrder22,0,0
p002,7,mainGameScenario7,Oakland,Oakland,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,6,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder28+mainGameOrder27+mainGameOrder25,1.367089,mainGameOrder28,1.866667,0.267631,1,over_bundle,over_bundle,mainGameOrder28,0.267631,0
p002,8,mainGameScenario8,Oakland,Oakland,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder29+mainGameOrder30+mainGameOrder31,1.016216,mainGameOrder29,1.511111,0.327504,1,over_bundle,over_bundle,mainGameOrder29,0.327504,0
p003,1,mainGameScenario1,Berkeley,,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,10,mainGameOrder4,0.827586,mainGameOrder1,2.037037,0.59373,1,over_bundle,over_bundle,,,0
p003,2,mainGameScenario2,Oakland,,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,10,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,10,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,10,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,10,mainGameOrder5+mainGameOrder6+mainGameOrder7,1.058824,mainGameOrder8,0.961538,0,1,over_bundle,over_bundle,,,0
p004,1,mainGameScenario1,Berkeley,Berkeley,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,10,mainGameOrder1+mainGameOrder2+mainGameOrder3,1.676136,mainGameOrder1,2.037037,0.177169,1,over_bundle,over_bundle,mainGameOrder1,0.177169,0
p004,2,mainGameScenario2,Berkeley,Berkeley,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,0,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,0,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,0,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,0,mainGameOrder8+mainGameOrder7+mainGameOrder5,1.520619,mainGameOrder8,1.851852,0.178866,1,over_bundle,over_bundle,mainGameOrder8,0.178866,0
p004,3,mainGameScenario3,Berkeley,Berkeley,mainGameOrder9,Berkeley Bowl,Berkeley,15,13.2,3,0,mainGameOrder10,Sprouts Farmers Market,Oakland,23,12.75,3,10,mainGameOrder11,Berkeley Bowl,Berkeley,23,12,6,0,mainGameOrder12,Berkeley Bowl,Berkeley,16,7.8,6,0,mainGameOrder12+mainGameOrder11+mainGameOrder9,1.216216,mainGameOrder11,1.277778,0.048179,1,over_bundle,over_bundle,mainGameOrder11,0.048179,0
p004,4,mainGameScenario4,Berkeley,Berkeley,mainGameOrder13,Berkeley Bowl,Berkeley,17,7.2,4,0,mainGameOrder14,Berkeley Bowl,Berkeley,17,7.8,2,0,mainGameOrder15,Berkeley Bowl,Berkeley,20,12,2,0,mainGameOrder16,Berkeley Bowl,Berkeley,16,11.4,6,0,mainGameOrder14+mainGameOrder13+mainGameOrder15,1.6875,mainGameOrder14,1.734694,0.027206,1,over_bundle,over_bundle,mainGameOrder14,0.027206,0
p004,5,mainGameScenario5,Berkeley,Berkeley,mainGameOrder17,Sprouts Farmers Market,Oakland,14,7.5,4,10,mainGameOrder18,Safeway,Piedmont,20,12.5,5,11,mainGameOrder19,Sprouts Farmers Market,Oakland,17,8.25,4,10,mainGameOrder20,Safeway,Piedmont,13,8.1,4,11,mainGameOrder19,0.764045,mainGameOrder17+mainGameOrder19,0.918519,0.168177,2,bundle_correct,bundle_correct,mainGameOrder17+mainGameOrder19,0.168177,0
p004,6,mainGameScenario6,Oakland,Oakland,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,0,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,0,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,0,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,0,mainGameOrder24,1.531915,mainGameOrder22,2.146341,0.286267,1,over_bundle,over_bundle,mainGameOrder22,0.286267,0
p004,7,mainGameScenario7,Oakland,Oakland,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,6,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder27+mainGameOrder28,1.787234,mainGameOrder28,1.866667,0.042553,1,over_bundle,over_bundle,mainGameOrder28,0.042553,0
p004,8,mainGameScenario8,Oakland,Oakland,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder32+mainGameOrder29,1.47619,mainGameOrder29,1.511111,0.023109,1,over_bundle,over_bundle,mainGameOrder29,0.023109,0
p004,9,mainGameScenario9,Piedmont,Piedmont,mainGameOrder33,Safeway,Piedmont,12,8.1,3,0,mainGameOrder34,Target,Emeryville,17,15.3,6,8,mainGameOrder35,Safeway,Piedmont,12,11.1,5,0,mainGameOrder36,Safeway,Piedmont,13,11.1,5,0,mainGameOrder33+mainGameOrder36+mainGameOrder35,0.946292,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.946292,0,3,bundle_correct,bundle_correct,mainGameOrder33+mainGameOrder35+mainGameOrder36,0,0
p004,10,mainGameScenario10,Piedmont,Piedmont,mainGameOrder37,Safeway,Piedmont,14,8.1,5,0,mainGameOrder38,Safeway,Piedmont,20,8.1,6,0,mainGameOrder39,Safeway,Piedmont,19,7.4,6,0,mainGameOrder40,Safeway,Piedmont,23,11.8,2,0,mainGameOrder40+mainGameOrder38+mainGameOrder37,1.52,mainGameOrder39+mainGameOrder40,1.673307,0.091619,2,bundle_correct,bundle_correct,mainGameOrder39+mainGameOrder40,0.091619,0
p004,11,mainGameScenario11,Piedmont,Piedmont,mainGameOrder41,Berkeley Bowl,Berkeley,13,7.8,2,11,mainGameOrder42,Target,Emeryville,19,7.8,2,8,mainGameOrder43,Target,Emeryville,18,8.7,5,8,mainGameOrder44,Target,Emeryville,15,13.5,3,8,mainGameOrder43+mainGameOrder44+mainGameOrder42,1.195402,mainGameOrder42+mainGameOrder43,1.20915,0.01137,2,bundle_correct,bundle_correct,mainGameOrder42+mainGameOrder43,0.01137,0
p004,12,mainGameScenario12,Emeryville,Emeryville,mainGameOrder45,Target,Emeryville,16,13.5,3,0,mainGameOrder46,Target,Emeryville,14,9.6,5,0,mainGameOrder47,Target,Emeryville,22,13.5,6,0,mainGameOrder48,Target,Emeryville,14,13.5,2,0,mainGameOrder47+mainGameOrder45+mainGameOrder46,1.150442,mainGameOrder45+mainGameOrder46+mainGameOrder47,1.150442,0,3,bundle_correct,bundle_correct,mainGameOrder45+mainGameOrder46+mainGameOrder47,0,0
p004,13,mainGameScenario13,Emeryville,Emeryville,mainGameOrder49,Target,Emeryville,24,11.7,2,0,mainGameOrder50,Berkeley Bowl,Berkeley,17,8.4,6,7,mainGameOrder51,Berkeley Bowl,Berkeley,14,7.8,5,7,mainGameOrder52,Target,Emeryville,12,9.6,5,0,mainGameOrder49+mainGameOrder52,1.358491,mainGameOrder49,1.751825,0.224528,1,over_bundle,over_bundle,mainGameOrder49,0.224528,0
p004,14,mainGameScenario14,Emeryville,Emeryville,mainGameOrder53,Target,Emeryville,21,13.5,6,0,mainGameOrder54,Target,Emeryville,14,13.5,5,0,mainGameOrder55,Target,Emeryville,22,13.5,6,0,mainGameOrder56,Target,Emeryville,18,7.8,6,0,mainGameOrder53+mainGameOrder55+mainGameOrder56,1.26294,mainGameOrder56,1.304348,0.031746,1,over_bundle,over_bundle,mainGameOrder56,0.031746,0
p004,15,mainGameScenario15,Emeryville,Emeryville,mainGameOrder57,Safeway,Piedmont,22,7.4,4,8,mainGameOrder58,Sprouts Farmers Market,Oakland,18,13.5,2,6,mainGameOrder59,Safeway,Piedmont,17,7.4,4,8,mainGameOrder60,Safeway,Piedmont,22,11.8,5,8,mainGameOrder57+mainGameOrder59+mainGameOrder60,1.40553,mainGameOrder57+mainGameOrder59+mainGameOrder60,1.40553,0,3,bundle_correct,bundle_correct,mainGameOrder57+mainGameOrder59+mainGameOrder60,0,0
p005,1,mainGameScenario1,Berkeley,,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,10,mainGameOrder1,2.037037,mainGameOrder1,2.037037,0,1,over_bundle,over_bundle,,,0
p005,2,mainGameScenario2,Berkeley,,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,0,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,0,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,0,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,0,mainGameOrder8+mainGameOrder5,1.654135,mainGameOrder8,1.851852,0.106767,1,over_bundle,over_bundle,,,0
p005,3,mainGameScenario3,Berkeley,,mainGameOrder9,Berkeley Bowl,Berkeley,15,13.2,3,0,mainGameOrder10,Sprouts Farmers Market,Oakland,23,12.75,3,10,mainGameOrder11,Berkeley Bowl,Berkeley,23,12,6,0,mainGameOrder12,Berkeley Bowl,Berkeley,16,7.8,6,0,mainGameOrder11+mainGameOrder12,1.25,mainGameOrder11,1.277778,0.021739,1,over_bundle,over_bundle,,,0
p005,4,mainGameScenario4,Berkeley,,mainGameOrder13,Berkeley Bowl,Berkeley,17,7.2,4,0,mainGameOrder14,Berkeley Bowl,Berkeley,17,7.8,2,0,mainGameOrder15,Berkeley Bowl,Berkeley,20,12,2,0,mainGameOrder16,Berkeley Bowl,Berkeley,16,11.4,6,0,mainGameOrder13+mainGameOrder15+mainGameOrder16,1.358974,mainGameOrder14,1.734694,0.216591,1,over_bundle,over_bundle,,,0
p005,5,mainGameScenario5,Berkeley,,mainGameOrder17,Sprouts Farmers Market,Oakland,14,7.5,4,10,mainGameOrder18,Safeway,Piedmont,20,12.5,5,11,mainGameOrder19,Sprouts Farmers Market,Oakland,17,8.25,4,10,mainGameOrder20,Safeway,Piedmont,13,8.1,4,11,mainGameOrder19+mainGameOrder17,0.918519,mainGameOrder17+mainGameOrder19,0.918519,0,2,bundle_correct,bundle_correct,,,0
p005,6,mainGameScenario6,Oakland,,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,0,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,0,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,0,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,0,mainGameOrder23+mainGameOrder21+mainGameOrder22,1.830986,mainGameOrder22,2.146341,0.146927,1,over_bundle,over_bundle,,,0
p005,7,mainGameScenario7,Oakland,,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,6,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder27+mainGameOrder28+mainGameOrder25,1.367089,mainGameOrder28,1.866667,0.267631,1,over_bundle,over_bundle,,,0
p005,8,mainGameScenario8,Oakland,,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder29+mainGameOrder30+mainGameOrder31,1.016216,mainGameOrder29,1.511111,0.327504,1,over_bundle,over_bundle,,,0
p005,9,mainGameScenario9,Oakland,,mainGameOrder33,Safeway,Piedmont,12,8.1,3,5,mainGameOrder34,Target,Emeryville,17,15.3,6,6,mainGameOrder35,Safeway,Piedmont,12,11.1,5,5,mainGameOrder36,Safeway,Piedmont,13,11.1,5,5,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.839002,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.839002,0,3,bundle_correct,bundle_correct,,,0
p005,10,mainGameScenario10,Piedmont,,mainGameOrder37,Safeway,Piedmont,14,8.1,5,0,mainGameOrder38,Safeway,Piedmont,20,8.1,6,0,mainGameOrder39,Safeway,Piedmont,19,7.4,6,0,mainGameOrder40,Safeway,Piedmont,23,11.8,2,0,mainGameOrder39+mainGameOrder40+mainGameOrder38,1.671159,mainGameOrder39+mainGameOrder40,1.673307,0.001284,2,bundle_correct,bundle_correct,,,0
p005,11,mainGameScenario11,Piedmont,,mainGameOrder41,Berkeley Bowl,Berkeley,13,7.8,2,11,mainGameOrder42,Target,Emeryville,19,7.8,2,8,mainGameOrder43,Target,Emeryville,18,8.7,5,8,mainGameOrder44,Target,Emeryville,15,13.5,3,8,mainGameOrder43+mainGameOrder44+mainGameOrder42,1.195402,mainGameOrder42+mainGameOrder43,1.20915,0.01137,2,bundle_correct,bundle_correct,,,0
p005,12,mainGameScenario12,Emeryville,,mainGameOrder45,Target,Emeryville,16,13.5,3,0,mainGameOrder46,Target,Emeryville,14,9.6,5,0,mainGameOrder47,Target,Emeryville,22,13.5,6,0,mainGameOrder48,Target,Emeryville,14,13.5,2,0,mainGameOrder47+mainGameOrder48+mainGameOrder45,1.150442,mainGameOrder45+mainGameOrder46+mainGameOrder47,1.150442,0,3,bundle_correct,bundle_correct,,,0
p005,13,mainGameScenario13,Emeryville,,mainGameOrder49,Target,Emeryville,24,11.7,2,0,mainGameOrder50,Berkeley Bowl,Berkeley,17,8.4,6,7,mainGameOrder51,Berkeley Bowl,Berkeley,14,7.8,5,7,mainGameOrder52,Target,Emeryville,12,9.6,5,0,mainGameOrder51+mainGameOrder50,0.939394,mainGameOrder49,1.751825,0.463763,1,over_bundle,over_bundle,,,0
