participant_token,round,scenario_id,current_city,order1_id,order1_store,order1_city,order1_earnings,order1_pick,order1_local,order1_cross,order2_id,order2_store,order2_city,order2_earnings,order2_pick,order2_local,order2_cross,order3_id,order3_store,order3_city,order3_earnings,order3_pick,order3_local,order3_cross,order4_id,order4_store,order4_city,order4_earnings,order4_pick,order4_local,order4_cross,chosen_bundle,chosen_score,oracle_bundle_recomputed,oracle_score,oracle_bundle_stored,percent_regret,round_type,oracle_path_sensitive,percent_regret_stored_oracle,regret_range,path_sensitive,stored_current_city,stored_oracle_deployed,stored_regret_deployed
p002,6,mainGameScenario6,Piedmont,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,8,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,8,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,8,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,8,mainGameOrder22+mainGameOrder21+mainGameOrder23,1.3978,mainGameOrder22+mainGameOrder23+mainGameOrder24,1.4463,mainGameOrder22,0.0335,over_bundle,1,0,0.1838,1,Piedmont,mainGameOrder22,0
p002,7,mainGameScenario7,Oakland,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,8,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder28+mainGameOrder27+mainGameOrder25,1.2934,mainGameOrder28,1.8667,mainGameOrder28,0.3071,over_bundle,0,0.3071,0.1742,1,Oakland,mainGameOrder28,0.2676
p002,8,mainGameScenario8,Oakland,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder29+mainGameOrder30+mainGameOrder31,0.9691,mainGameOrder29,1.5111,mainGameOrder29,0.3587,over_bundle,0,0.3587,0.2233,1,Oakland,mainGameOrder29,0.3275
p003,1,mainGameScenario1,Berkeley,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,12,mainGameOrder4,0.7579,mainGameOrder1,2.037,mainGameOrder1,0.6279,over_bundle,0,0.6279,0.6279,1,,,
p003,2,mainGameScenario2,Oakland,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,12,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,12,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,12,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,12,mainGameOrder5+mainGameOrder6+mainGameOrder7,1.0189,mainGameOrder5+mainGameOrder7+mainGameOrder8,1.1614,mainGameOrder8,0.1227,over_bundle,1,0,0.166,1,,,
p004,1,mainGameScenario1,Berkeley,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,12,mainGameOrder1+mainGameOrder2+mainGameOrder3,1.6761,mainGameOrder1,2.037,mainGameOrder1,0.1772,over_bundle,0,0.1772,0.184,1,Berkeley,mainGameOrder1,0.1772
p004,2,mainGameScenario2,Berkeley,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,0,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,0,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,0,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,0,mainGameOrder8+mainGameOrder7+mainGameOrder5,1.5206,mainGameOrder8,1.8519,mainGameOrder8,0.1789,over_bundle,0,0.1789,0.1789,1,Berkeley,mainGameOrder8,0.1789
p004,3,mainGameScenario3,Berkeley,mainGameOrder9,Berkeley Bowl,Berkeley,15,13.2,3,0,mainGameOrder10,Sprouts Farmers Market,Oakland,23,12.75,3,12,mainGameOrder11,Berkeley Bowl,Berkeley,23,12,6,0,mainGameOrder12,Berkeley Bowl,Berkeley,16,7.8,6,0,mainGameOrder12+mainGameOrder11+mainGameOrder9,1.2162,mainGameOrder11,1.2778,mainGameOrder11,0.0482,over_bundle,0,0.0482,0.3444,1,Berkeley,mainGameOrder11,0.0482
p004,4,mainGameScenario4,Berkeley,mainGameOrder13,Berkeley Bowl,Berkeley,17,7.2,4,0,mainGameOrder14,Berkeley Bowl,Berkeley,17,7.8,2,0,mainGameOrder15,Berkeley Bowl,Berkeley,20,12,2,0,mainGameOrder16,Berkeley Bowl,Berkeley,16,11.4,6,0,mainGameOrder14+mainGameOrder13+mainGameOrder15,1.6875,mainGameOrder14,1.7347,mainGameOrder14,0.0272,over_bundle,0,0.0272,0.0272,1,Berkeley,mainGameOrder14,0.0272
p004,5,mainGameScenario5,Berkeley,mainGameOrder17,Sprouts Farmers Market,Oakland,14,7.5,4,12,mainGameOrder18,Safeway,Piedmont,20,12.5,5,14,mainGameOrder19,Sprouts Farmers Market,Oakland,17,8.25,4,12,mainGameOrder20,Safeway,Piedmont,13,8.1,4,14,mainGameOrder19,0.701,mainGameOrder17+mainGameOrder19,0.8671,mainGameOrder17+mainGameOrder19,0.1916,bundle_correct,0,0.1916,0.2826,1,Berkeley,mainGameOrder17+mainGameOrder19,0.1682
p004,6,mainGameScenario6,Oakland,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,0,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,0,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,0,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,0,mainGameOrder24,1.5319,mainGameOrder22,2.1463,mainGameOrder22,0.2863,over_bundle,0,0.2863,0.1424,1,Oakland,mainGameOrder22,0.2863
p004,7,mainGameScenario7,Oakland,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,8,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder27+mainGameOrder28,1.732,mainGameOrder28,1.8667,mainGameOrder28,0.0722,over_bundle,0,0.0722,0.0722,1,Oakland,mainGameOrder28,0.0426
p004,8,mainGameScenario8,Oakland,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder32+mainGameOrder29,1.3778,mainGameOrder29,1.5111,mainGameOrder29,0.0882,over_bundle,0,0.0882,0.0882,1,Oakland,mainGameOrder29,0.0231
p004,9,mainGameScenario9,Oakland,mainGameOrder33,Safeway,Piedmont,12,8.1,3,8,mainGameOrder34,Target,Emeryville,17,15.3,6,8,mainGameOrder35,Safeway,Piedmont,12,11.1,5,8,mainGameOrder36,Safeway,Piedmont,13,11.1,5,8,mainGameOrder33+mainGameOrder36+mainGameOrder35,0.7856,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.7856,mainGameOrder33+mainGameOrder35+mainGameOrder36,0,bundle_correct,0,0,0.1247,1,Piedmont,mainGameOrder33+mainGameOrder35+mainGameOrder36,0
p004,10,mainGameScenario10,Piedmont,mainGameOrder37,Safeway,Piedmont,14,8.1,5,0,mainGameOrder38,Safeway,Piedmont,20,8.1,6,0,mainGameOrder39,Safeway,Piedmont,19,7.4,6,0,mainGameOrder40,Safeway,Piedmont,23,11.8,2,0,mainGameOrder40+mainGameOrder38+mainGameOrder37,1.52,mainGameOrder39+mainGameOrder40,1.6733,mainGameOrder39+mainGameOrder40,0.0916,bundle_correct,0,0.0916,0.0038,0,Piedmont,mainGameOrder39+mainGameOrder40,0.0916
p004,11,mainGameScenario11,Piedmont,mainGameOrder41,Berkeley Bowl,Berkeley,13,7.8,2,14,mainGameOrder42,Target,Emeryville,19,7.8,2,10,mainGameOrder43,Target,Emeryville,18,8.7,5,10,mainGameOrder44,Target,Emeryville,15,13.5,3,10,mainGameOrder43+mainGameOrder44+mainGameOrder42,1.1659,mainGameOrder42+mainGameOrder43,1.1672,mainGameOrder42+mainGameOrder43,0.0011,bundle_correct,0,0.0011,0.2237,1,Piedmont,mainGameOrder42+mainGameOrder43,0.0114
p004,12,mainGameScenario12,Emeryville,mainGameOrder45,Target,Emeryville,16,13.5,3,0,mainGameOrder46,Target,Emeryville,14,9.6,5,0,mainGameOrder47,Target,Emeryville,22,13.5,6,0,mainGameOrder48,Target,Emeryville,14,13.5,2,0,mainGameOrder47+mainGameOrder45+mainGameOrder46,1.1504,mainGameOrder45+mainGameOrder46+mainGameOrder47,1.1504,mainGameOrder45+mainGameOrder46+mainGameOrder47,0,bundle_correct,0,0,0,0,Emeryville,mainGameOrder45+mainGameOrder46+mainGameOrder47,0
p004,13,mainGameScenario13,Emeryville,mainGameOrder49,Target,Emeryville,24,11.7,2,0,mainGameOrder50,Berkeley Bowl,Berkeley,17,8.4,6,8,mainGameOrder51,Berkeley Bowl,Berkeley,14,7.8,5,8,mainGameOrder52,Target,Emeryville,12,9.6,5,0,mainGameOrder49+mainGameOrder52,1.3139,mainGameOrder49,1.7518,mainGameOrder49,0.25,over_bundle,0,0.25,0.2005,1,Emeryville,mainGameOrder49,0.2245
p004,14,mainGameScenario14,Emeryville,mainGameOrder53,Target,Emeryville,21,13.5,6,0,mainGameOrder54,Target,Emeryville,14,13.5,5,0,mainGameOrder55,Target,Emeryville,22,13.5,6,0,mainGameOrder56,Target,Emeryville,18,7.8,6,0,mainGameOrder53+mainGameOrder55+mainGameOrder56,1.2869,mainGameOrder56,1.3043,mainGameOrder56,0.0134,over_bundle,0,0.0134,0.0134,1,Emeryville,mainGameOrder56,0.0317
p004,15,mainGameScenario15,Emeryville,mainGameOrder57,Safeway,Piedmont,22,7.4,4,10,mainGameOrder58,Sprouts Farmers Market,Oakland,18,13.5,2,8,mainGameOrder59,Safeway,Piedmont,17,7.4,4,10,mainGameOrder60,Safeway,Piedmont,22,11.8,5,10,mainGameOrder57+mainGameOrder59+mainGameOrder60,1.3436,mainGameOrder57+mainGameOrder59+mainGameOrder60,1.3436,mainGameOrder57+mainGameOrder59+mainGameOrder60,0,bundle_correct,0,0,0.1071,1,Emeryville,mainGameOrder57+mainGameOrder59+mainGameOrder60,0
p005,1,mainGameScenario1,Berkeley,mainGameOrder1,Berkeley Bowl,Berkeley,22,7.8,3,0,mainGameOrder2,Berkeley Bowl,Berkeley,22,8.4,6,0,mainGameOrder3,Berkeley Bowl,Berkeley,15,9,4,0,mainGameOrder4,Sprouts Farmers Market,Oakland,18,9.75,2,12,mainGameOrder1,2.037,mainGameOrder1,2.037,mainGameOrder1,0,over_bundle,0,0,0.3701,1,,,
p005,2,mainGameScenario2,Berkeley,mainGameOrder5,Berkeley Bowl,Berkeley,24,12,5,0,mainGameOrder6,Berkeley Bowl,Berkeley,15,11.4,4,0,mainGameOrder7,Berkeley Bowl,Berkeley,15,12,2,0,mainGameOrder8,Berkeley Bowl,Berkeley,20,7.8,3,0,mainGameOrder8+mainGameOrder5,1.6541,mainGameOrder8,1.8519,mainGameOrder8,0.1068,over_bundle,0,0.1068,0.1068,1,,,
p005,3,mainGameScenario3,Berkeley,mainGameOrder9,Berkeley Bowl,Berkeley,15,13.2,3,0,mainGameOrder10,Sprouts Farmers Market,Oakland,23,12.75,3,12,mainGameOrder11,Berkeley Bowl,Berkeley,23,12,6,0,mainGameOrder12,Berkeley Bowl,Berkeley,16,7.8,6,0,mainGameOrder11+mainGameOrder12,1.25,mainGameOrder11,1.2778,mainGameOrder11,0.0217,over_bundle,0,0.0217,0.3601,1,,,
p005,4,mainGameScenario4,Berkeley,mainGameOrder13,Berkeley Bowl,Berkeley,17,7.2,4,0,mainGameOrder14,Berkeley Bowl,Berkeley,17,7.8,2,0,mainGameOrder15,Berkeley Bowl,Berkeley,20,12,2,0,mainGameOrder16,Berkeley Bowl,Berkeley,16,11.4,6,0,mainGameOrder13+mainGameOrder15+mainGameOrder16,1.359,mainGameOrder14,1.7347,mainGameOrder14,0.2166,over_bundle,0,0.2166,0.0684,1,,,
p005,5,mainGameScenario5,Berkeley,mainGameOrder17,Sprouts Farmers Market,Oakland,14,7.5,4,12,mainGameOrder18,Safeway,Piedmont,20,12.5,5,14,mainGameOrder19,Sprouts Farmers Market,Oakland,17,8.25,4,12,mainGameOrder20,Safeway,Piedmont,13,8.1,4,14,mainGameOrder19+mainGameOrder17,0.8671,mainGameOrder17+mainGameOrder19,0.8671,mainGameOrder17+mainGameOrder19,0,bundle_correct,0,0,0.1656,1,,,
p005,6,mainGameScenario6,Oakland,mainGameOrder21,Sprouts Farmers Market,Oakland,19,12,2,0,mainGameOrder22,Sprouts Farmers Market,Oakland,22,8.25,2,0,mainGameOrder23,Sprouts Farmers Market,Oakland,24,8.25,6,0,mainGameOrder24,Sprouts Farmers Market,Oakland,18,9.75,2,0,mainGameOrder23+mainGameOrder21+mainGameOrder22,1.6883,mainGameOrder22,2.1463,mainGameOrder22,0.2134,over_bundle,0,0.2134,0.1838,1,,,
p005,7,mainGameScenario7,Oakland,mainGameOrder25,Sprouts Farmers Market,Oakland,12,13.5,4,0,mainGameOrder26,Target,Emeryville,17,13.5,2,8,mainGameOrder27,Sprouts Farmers Market,Oakland,21,9,4,0,mainGameOrder28,Sprouts Farmers Market,Oakland,21,8.25,3,0,mainGameOrder27+mainGameOrder28+mainGameOrder25,1.2934,mainGameOrder28,1.8667,mainGameOrder28,0.3071,over_bundle,0,0.3071,0.1742,1,,,
p005,8,mainGameScenario8,Oakland,mainGameOrder29,Sprouts Farmers Market,Oakland,17,8.25,3,0,mainGameOrder30,Sprouts Farmers Market,Oakland,15,13.5,6,0,mainGameOrder31,Sprouts Farmers Market,Oakland,15,12.75,5,0,mainGameOrder32,Sprouts Farmers Market,Oakland,14,8.25,3,0,mainGameOrder29+mainGameOrder30+mainGameOrder31,0.9691,mainGameOrder29,1.5111,mainGameOrder29,0.3587,over_bundle,0,0.3587,0.2233,1,,,
p005,9,mainGameScenario9,Oakland,mainGameOrder33,Safeway,Piedmont,12,8.1,3,8,mainGameOrder34,Target,Emeryville,17,15.3,6,8,mainGameOrder35,Safeway,Piedmont,12,11.1,5,8,mainGameOrder36,Safeway,Piedmont,13,11.1,5,8,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.7856,mainGameOrder33+mainGameOrder35+mainGameOrder36,0.7856,mainGameOrder33+mainGameOrder35+mainGameOrder36,0,bundle_correct,0,0,0.1247,1,,,
